"sensor_id","data1","data2","date_time","location","data3"
"EC000000DCFC8E12","22.9","23.0","2018-04-03 18:10:17.25524","5","0.6"
"EA000000DD740712","22.8","22.0","2018-04-03 18:10:17.570638","6","0.0"
"735410EC5CCA42C3","24.7","19.0","2018-04-03 18:20:17.002565","1","-0.4"
"EC000000DCFC8E12","22.8","23.0","2018-04-03 18:20:17.257564","5","0.6"
"EA000000DD740712","22.8","22.0","2018-04-03 18:20:17.560562","6","0.0"
"735410EC5CCA42C3","24.7","19.0","2018-04-03 18:30:16.976483","1","-0.4"
"EC000000DCFC8E12","22.8","23.0","2018-04-03 18:30:17.255482","5","0.6"
"EA000000DD740712","22.8","22.0","2018-04-03 18:30:17.52648","6","0.0"
"735410EC5CCA42C3","24.6","19.0","2018-04-03 18:40:16.951223","1","-0.4"
"EC000000DCFC8E12","22.8","22.0","2018-04-03 18:40:17.235621","5","0.0"
"EA000000DD740712","22.8","22.0","2018-04-03 18:40:17.51202","6","0.0"
"735410EC5CCA42C3","24.7","19.0","2018-04-03 18:50:16.937372","1","-0.4"
"EC000000DCFC8E12","22.8","22.0","2018-04-03 18:50:17.204371","5","0.0"
"EA000000DD740712","22.8","22.0","2018-04-03 18:50:17.50657","6","0.0"
"735410EC5CCA42C3","24.7","19.0","2018-04-03 19:00:16.932687","1","-0.4"
"EC000000DCFC8E12","22.8","22.0","2018-04-03 19:00:17.238085","5","0.0"
"EA000000DD740712","22.8","22.0","2018-04-03 19:00:17.490684","6","0.0"
"735410EC5CCA42C3","24.7","19.0","2018-04-03 19:10:16.925607","1","-0.4"
"EC000000DCFC8E12","22.8","22.0","2018-04-03 19:10:17.194622","5","0.0"
"EA000000DD740712","22.8","22.0","2018-04-03 19:10:17.496443","6","0.0"
"735410EC5CCA42C3","24.6","19.0","2018-04-03 19:20:16.960945","1","-0.4"
"EC000000DCFC8E12","22.8","22.0","2018-04-03 19:20:17.224945","5","0.0"
"EA000000DD740712","22.8","22.0","2018-04-03 19:20:17.511944","6","0.0"
"735410EC5CCA42C3","24.6","19.0","2018-04-03 19:30:16.930236","1","-0.4"
"EC000000DCFC8E12","22.8","22.0","2018-04-03 19:30:17.197635","5","0.0"
"EA000000DD740712","22.8","22.0","2018-04-03 19:30:17.496033","6","0.0"
"735410EC5CCA42C3","24.7","19.0","2018-04-03 19:40:16.904591","1","-0.4"
"EC000000DCFC8E12","22.8","22.0","2018-04-03 19:40:17.210589","5","0.0"
"EA000000DD740712","22.8","22.0","2018-04-03 19:40:17.489988","6","0.0"
"735410EC5CCA42C3","24.7","19.0","2018-04-03 19:50:16.905519","1","-0.4"
"EC000000DCFC8E12","22.8","22.0","2018-04-03 19:50:17.199718","5","0.0"
"EA000000DD740712","22.8","22.0","2018-04-03 19:50:17.463516","6","0.0"
"735410EC5CCA42C3","24.7","19.0","2018-04-03 20:00:16.902279","1","-0.4"
"EC000000DCFC8E12","22.8","22.0","2018-04-03 20:00:17.213277","5","0.0"
"EA000000DD740712","22.8","21.0","2018-04-03 20:00:17.476276","6","-0.6"
"735410EC5CCA42C3","24.7","19.0","2018-04-03 20:10:16.89996","1","-0.3"
"EC000000DCFC8E12","22.8","22.0","2018-04-03 20:10:17.208958","5","0.0"
"EA000000DD740712","22.8","21.0","2018-04-03 20:10:17.488956","6","-0.6"
"735410EC5CCA42C3","24.8","19.0","2018-04-03 20:20:16.885331","1","-0.3"
"EC000000DCFC8E12","22.8","22.0","2018-04-03 20:20:17.181729","5","0.0"
"EA000000DD740712","22.8","21.0","2018-04-03 20:20:17.483928","6","-0.6"
"735410EC5CCA42C3","24.7","19.0","2018-04-03 20:30:16.899889","1","-0.3"
"EC000000DCFC8E12","22.8","22.0","2018-04-03 20:30:17.182488","5","0.0"
"EA000000DD740712","22.8","21.0","2018-04-03 20:30:17.434687","6","-0.6"
"735410EC5CCA42C3","24.7","19.0","2018-04-03 20:40:16.913431","1","-0.4"
"EC000000DCFC8E12","22.8","22.0","2018-04-03 20:40:17.16743","5","0.0"
"EA000000DD740712","22.8","21.0","2018-04-03 20:40:17.487428","6","-0.6"
"735410EC5CCA42C3","24.7","19.0","2018-04-03 20:50:16.86156","1","-0.3"
"EC000000DCFC8E12","22.8","22.0","2018-04-03 20:50:17.181558","5","0.0"
"EA000000DD740712","22.8","22.0","2018-04-03 20:50:17.514956","6","0.0"
"735410EC5CCA42C3","24.7","19.0","2018-04-03 21:00:16.839252","1","-0.4"
"EC000000DCFC8E12","22.8","22.0","2018-04-03 21:00:17.15325","5","0.0"
"EA000000DD740712","22.8","22.0","2018-04-03 21:00:17.433249","6","0.0"
"735410EC5CCA42C3","24.6","19.0","2018-04-03 21:10:16.867818","1","-0.4"
"EC000000DCFC8E12","22.8","22.0","2018-04-03 21:10:17.134017","5","0.0"
"EA000000DD740712","22.8","22.0","2018-04-03 21:10:17.406415","6","0.0"
"735410EC5CCA42C3","24.7","19.0","2018-04-03 21:20:16.824531","1","-0.4"
"EC000000DCFC8E12","22.8","22.0","2018-04-03 21:20:17.10753","5","0.0"
"EA000000DD740712","22.8","22.0","2018-04-03 21:20:17.382529","6","0.0"
"735410EC5CCA42C3","24.7","20.0","2018-04-03 21:30:16.835298","1","0.3"
"EC000000DCFC8E12","22.8","23.0","2018-04-03 21:30:17.129326","5","0.6"
"EA000000DD740712","22.8","22.0","2018-04-03 21:30:17.38935","6","0.0"
"735410EC5CCA42C3","24.7","20.0","2018-04-03 21:40:16.858268","1","0.3"
"EC000000DCFC8E12","22.8","23.0","2018-04-03 21:40:17.110867","5","0.6"
"EA000000DD740712","22.8","23.0","2018-04-03 21:40:17.390866","6","0.6"
"735410EC5CCA42C3","24.8","20.0","2018-04-03 21:50:16.844812","1","0.3"
"EC000000DCFC8E12","22.8","24.0","2018-04-03 21:50:17.130211","5","1.2"
"EA000000DD740712","22.8","23.0","2018-04-03 21:50:17.408609","6","0.6"
"735410EC5CCA42C3","24.7","21.0","2018-04-03 22:00:16.828316","1","0.9"
"EC000000DCFC8E12","22.8","24.0","2018-04-03 22:00:17.137315","5","1.2"
"EA000000DD740712","22.8","23.0","2018-04-03 22:00:17.441714","6","0.6"
"735410EC5CCA42C3","24.7","21.0","2018-04-03 22:10:16.858826","1","0.9"
"EC000000DCFC8E12","22.8","24.0","2018-04-03 22:10:17.178025","5","1.2"
"EA000000DD740712","22.8","23.0","2018-04-03 22:10:17.429823","6","0.6"
"735410EC5CCA42C3","24.6","21.0","2018-04-03 22:20:16.803555","1","0.9"
"EC000000DCFC8E12","22.9","24.0","2018-04-03 22:20:17.083553","5","1.2"
"EA000000DD740712","22.7","23.0","2018-04-03 22:20:17.377752","6","0.6"
"735410EC5CCA42C3","24.6","21.0","2018-04-03 22:30:16.810448","1","0.9"
"EC000000DCFC8E12","22.8","24.0","2018-04-03 22:30:17.064646","5","1.2"
