GEIST-V4-MIB,,,,
,,,,
OID name,OID,access,type,units
rpmSensorPowerFactor,1.3.6.1.4.1.21239.5.1.10.1.13,read-only,Gauge32,%
rpmSensorOutlet1,1.3.6.1.4.1.21239.5.1.10.1.14,read-only,Gauge32,
rpmSensorOutlet2,1.3.6.1.4.1.21239.5.1.10.1.15,read-only,Gauge32,
,,,,
Analog Measurement Sensor (Voltage, Current, or Dry Contact),,,,
a2dSensorTable,1.3.6.1.4.1.21239.5.1.11,no-access,other,
A2DSensorEntry,1.3.6.1.4.1.21239.5.1.11.1,no-access,other,
a2dSensorIndex,1.3.6.1.4.1.21239.5.1.11.1.1,read-only,Integer32(1..100),
a2dSensorSerial,1.3.6.1.4.1.21239.5.1.11.1.2,read-only,DisplayString,
a2dSensorName,1.3.6.1.4.1.21239.5.1.11.1.3,read-only,DisplayString,
a2dSensorAvail,1.3.6.1.4.1.21239.5.1.11.1.4,read-only,Gauge32,
a2dSensorValue,1.3.6.1.4.1.21239.5.1.11.1.5,read-only,Integer32(-1000000..1000000),
,,,,
,,,,
Notify Name, Enterprise OID, General Notify Number, Specific Notify Number,
,,,,
Notify Information,,,,
,,,,
internalTestNOTIFY,1.3.6.1.4.1.21239.5.1.32767,6,10101,
,,,,
,,,,
internalAvailNOTIFY,1.3.6.1.4.1.21239.5.1.32767,6,10204,
internalAvailCLEAR,1.3.6.1.4.1.21239.5.1.32767,6,20204,
internalTempNOTIFY,1.3.6.1.4.1.21239.5.1.32767,6,10205,
internalTempCLEAR,1.3.6.1.4.1.21239.5.1.32767,6,20205,
internalHumidityNOTIFY,1.3.6.1.4.1.21239.5.1.32767,6,10206,
internalHumidityCLEAR,1.3.6.1.4.1.21239.5.1.32767,6,20206,
internalDewPointNOTIFY,1.3.6.1.4.1.21239.5.1.32767,6,10207,
internalDewPointCLEAR,1.3.6.1.4.1.21239.5.1.32767,6,20207,
,,,,
tempSensorAvailNOTIFY,1.3.6.1.4.1.21239.5.1.32767,6,10404,
tempSensorAvailCLEAR,1.3.6.1.4.1.21239.5.1.32767,6,20404,
tempSensorTempNOTIFY,1.3.6.1.4.1.21239.5.1.32767,6,10405,
tempSensorTempCLEAR,1.3.6.1.4.1.21239.5.1.32767,6,20405,
,,,,
airFlowSensorAvailNOTIFY,1.3.6.1.4.1.21239.5.1.32767,6,10504,
airFlowSensorAvailCLEAR,1.3.6.1.4.1.21239.5.1.32767,6,20504,
airFlowSensorTempNOTIFY,1.3.6.1.4.1.21239.5.1.32767,6,10505,
airFlowSensorTempCLEAR,1.3.6.1.4.1.21239.5.1.32767,6,20505,
airFlowSensorFlowNOTIFY,1.3.6.1.4.1.21239.5.1.32767,6,10506,
airFlowSensorFlowCLEAR,1.3.6.1.4.1.21239.5.1.32767,6,20506,
airFlowSensorHumidityNOTIFY,1.3.6.1.4.1.21239.5.1.32767,6,10507,
airFlowSensorHumidityCLEAR,1.3.6.1.4.1.21239.5.1.32767,6,20507,
airFlowSensorDewPointNOTIFY,1.3.6.1.4.1.21239.5.1.32767,6,10508,
airFlowSensorDewPointCLEAR,1.3.6.1.4.1.21239.5.1.32767,6,20508,
,,,,
dewPointSensorAvailNOTIFY,1.3.6.1.4.1.21239.5.1.32767,6,10604,
dewPointSensorAvailCLEAR,1.3.6.1.4.1.21239.5.1.32767,6,20604,
dewPointSensorTempNOTIFY,1.3.6.1.4.1.21239.5.1.32767,6,10605,
dewPointSensorTempCLEAR,1.3.6.1.4.1.21239.5.1.32767,6,20605,
dewPointSensorHumidityNOTIFY,1.3.6.1.4.1.21239.5.1.32767,6,10606,
dewPointSensorHumidityCLEAR,1.3.6.1.4.1.21239.5.1.32767,6,20606,
dewPointSensorDewPointNOTIFY,1.3.6.1.4.1.21239.5.1.32767,6,10607,
dewPointSensorDewPointCLEAR,1.3.6.1.4.1.21239.5.1.32767,6,20607,
,,,,
ccatSensorAvailNOTIFY,1.3.6.1.4.1.21239.5.1.32767,6,10704,
ccatSensorAvailCLEAR,1.3.6.1.4.1.21239.5.1.32767,6,20704,
ccatSensorValueNOTIFY,1.3.6.1.4.1.21239.5.1.32767,6,10705,
ccatSensorValueCLEAR,1.3.6.1.4.1.21239.5.1.32767,6,20705,
,,,,
t3hdSensorAvailNOTIFY,1.3.6.1.4.1.21239.5.1.32767,6,10804,
t3hdSensorAvailCLEAR,1.3.6.1.4.1.21239.5.1.32767,6,20804,
t3hdSensorIntTempNOTIFY,1.3.6.1.4.1.21239.5.1.32767,6,10806,
t3hdSensorIntTempCLEAR,1.3.6.1.4.1.21239.5.1.32767,6,20806,
t3hdSensorIntHumidityNOTIFY,1.3.6.1.4.1.21239.5.1.32767,6,10807,
t3hdSensorIntHumidityCLEAR,1.3.6.1.4.1.21239.5.1.32767,6,20807,
t3hdSensorIntDewPointNOTIFY,1.3.6.1.4.1.21239.5.1.32767,6,10808,
t3hdSensorIntDewPointCLEAR,1.3.6.1.4.1.21239.5.1.32767,6,20808,
t3hdSensorExtATempNOTIFY,1.3.6.1.4.1.21239.5.1.32767,6,10811,
t3hdSensorExtATempCLEAR,1.3.6.1.4.1.21239.5.1.32767,6,20811,
t3hdSensorExtBTempNOTIFY,1.3.6.1.4.1.21239.5.1.32767,6,10814,
t3hdSensorExtBTempCLEAR,1.3.6.1.4.1.21239.5.1.32767,6,20814,
,,,,
thdSensorAvailNOTIFY,1.3.6.1.4.1.21239.5.1.32767,6,10904,
thdSensorAvailCLEAR,1.3.6.1.4.1.21239.5.1.32767,6,20904,
thdSensorTempNOTIFY,1.3.6.1.4.1.21239.5.1.32767,6,10905,
thdSensorTempCLEAR,1.3.6.1.4.1.21239.5.1.32767,6,20905,
thdSensorHumidityNOTIFY,1.3.6.1.4.1.21239.5.1.32767,6,10906,
thdSensorHumidityCLEAR,1.3.6.1.4.1.21239.5.1.32767,6,20906,
thdSensorDewPointNOTIFY,1.3.6.1.4.1.21239.5.1.32767,6,10907,
thdSensorDewPointCLEAR,1.3.6.1.4.1.21239.5.1.32767,6,20907,
,,,,
rpmSensorAvailNOTIFY,1.3.6.1.4.1.21239.5.1.32767,6,11004,
rpmSensorAvailCLEAR,1.3.6.1.4.1.21239.5.1.32767,6,21004,
rpmSensorEnergyNOTIFY,1.3.6.1.4.1.21239.5.1.32767,6,11005,
rpmSensorEnergyCLEAR,1.3.6.1.4.1.21239.5.1.32767,6,21005,
rpmSensorVoltageNOTIFY,1.3.6.1.4.1.21239.5.1.32767,6,11006,
rpmSensorVoltageCLEAR,1.3.6.1.4.1.21239.5.1.32767,6,21006,
rpmSensorVoltageMaxNOTIFY,1.3.6.1.4.1.21239.5.1.32767,6,11007,
rpmSensorVoltageMaxCLEAR,1.3.6.1.4.1.21239.5.1.32767,6,21007,
rpmSensorVoltageMinNOTIFY,1.3.6.1.4.1.21239.5.1.32767,6,11008,
